"Time","Coef","Coef_SD","UpperCI","LowerCI"
90.5,0.0236656975553634,0.0278501695197547,0.0793660365948727,-0.0320346414841459
91,0.0232813694814475,0.0273875492033743,0.0780564678881961,-0.0314937289253011
95,0.022512713332344,0.0264624671575001,0.0754376476473442,-0.0304122209826562
99,0.0213597286755576,0.0250753991860411,0.0715105270476398,-0.0287910696965246
103,0.0202067431538552,0.023688982804582,0.0675847087630191,-0.0271712224553087
107,0.0190537563403995,0.0223033392744487,0.063660434889297,-0.0255529222084979
111,0.0179007677996417,0.0209186205651794,0.0597380089300004,-0.0239364733307171
115,0.0167477771132841,0.0195350234687127,0.0558178240507095,-0.0223222698241414
119,0.0155947838544258,0.0181528004011395,0.0519003846567049,-0.0207108169478532
123,0.0144417875444417,0.016772293029718,0.0479863736038777,-0.0191027985149943
127,0.0132887881009114,0.015393950815543,0.0440766897319974,-0.0174991135301746
131,0.0121357837128395,0.0140184209510419,0.0401726256149233,-0.0159010581892444
135,0.0109827793607112,0.0126465832018739,0.036275945764459,-0.0143103870430366
139,0.00982975348335427,0.0112798084638569,0.032389370411068,-0.0127298634443595
143,0.00867678543380479,0.00992008815992728,0.0285169617536594,-0.0111633908860498
147,0.00752357321809337,0.00857073662195325,0.0246650464619999,-0.00961790002581312
151,0.00637124396251716,0.00723757297653498,0.0208463899155871,-0.0081039019905528
155,0.00521558135767835,0.0059297455779059,0.0170750725134902,-0.00664390979813346
159,0.0040960660162557,0.00468191135269021,0.0134598887216361,-0.00526775668912471
163,0.00307769381361549,0.00354185489659136,0.0101614036067982,-0.00400601597956722
167,0.00223816051101662,0.0025518875034104,0.00734193551783741,-0.00286561449580418
171,0.0016488711788806,0.00176281301797168,0.00517449721482396,-0.00187675485706276
175,0.00135884167520857,0.00126906331254545,0.00389696830029947,-0.00117928494988234
179,0.00133944895503384,0.00125201929299121,0.00384348754101627,-0.00116458963094858
183,0.00154054530893108,0.00151955357108359,0.00457965245109825,-0.00149856183323609
187,0.00193254410388228,0.00178344074935153,0.00549942560258534,-0.00163433739482078
191,0.0025520045702841,0.00195701505935835,0.00646603468900079,-0.0013620255484326
195,0.00355747642187939,0.00200146908621861,0.00756041459431661,-0.000445461750557828
199,0.00486981142373236,0.00194365329801065,0.00875711801975367,0.000982504827711057
203,0.00624692839912842,0.00183036882232859,0.00990766604378559,0.00258619075447124
207,0.00741374420197193,0.00170670842353574,0.0108271610490434,0.00400032735490045
211,0.008074508483788,0.00161712752047271,0.0113087635247334,0.00484025344284258
215,0.00813191048005907,0.00157998280943662,0.0112918760989323,0.00497194486118582
219,0.00756496785951151,0.0015576555121151,0.0106802788837417,0.0044496568352813
223,0.00650400503921495,0.00151599623579028,0.00953599751079551,0.00347201256763439
227,0.00520156389606471,0.00147337090869777,0.00814830571346024,0.00225482207866917
231,0.00383784572801936,0.00146736214891107,0.00677257002584151,0.000903121430197215
235,0.00245316308602629,0.00149953506537943,0.00545223321678515,-0.000545907044732577
239,0.00103624286212147,0.00151819563519114,0.00407263413250375,-0.00200014840826081
243,-0.000288485195770677,0.00153472927798976,0.00278097336020884,-0.00335794375175019
247,-0.00129963219456667,0.00158578587313003,0.00187193955169338,-0.00447120394082673
251,-0.00185741693978534,0.00162833182991743,0.00139924672004952,-0.0051140805996202
255,-0.00197688396326732,0.00162573603186484,0.00127458810046236,-0.005228356026997
259,-0.00173618199370135,0.00162136538229142,0.0015065487708815,-0.00497891275828419
263,-0.00118426693929068,0.00162631381727219,0.0020683606952537,-0.00443689457383507
267,-0.000460513684454045,0.0016189894672055,0.00277746524995695,-0.00369849261886504
271,0.00021041475315926,0.00158798133428059,0.00338637742172044,-0.00296554791540192
275,0.000637376441891797,0.00152041514917409,0.00367820674023997,-0.00240345385645638
279,0.000719108497142178,0.0014338040552232,0.00358671660758857,-0.00214849961330422
283,0.000380508397889243,0.00134376881775475,0.00306804603339874,-0.00230702923762025
287,-0.000435317806363858,0.00122892068744161,0.00202252356851935,-0.00289315918124707
291,-0.001708702883015,0.00124958216057638,0.00079046143813775,-0.00420786720416775
295,-0.00321113865322446,0.00172395791625912,0.000236777179293771,-0.00665905448574269
299,-0.00488980885698451,0.00260322857810104,0.000316648299217563,-0.0100962660131866
303,-0.00601817114310207,0.00331457738552588,0.000610983627949696,-0.0126473259141538
304.5,-0.00664500617034558,0.00371972216917405,0.000794438168002514,-0.0140844505086937
