"Time","Coef","Coef_SD","UpperCI","LowerCI"
90.5,-0.00121669488765981,0.00458408244634438,0.00795147000502895,-0.0103848597803486
91,-0.00116590498219931,0.00452921646073931,0.00789252793927932,-0.0102243379036779
95,-0.00106432517128574,0.00441954523056102,0.00777476528983629,-0.00990341563240777
99,-0.000911955458094493,0.00425524180506956,0.00759852815204462,-0.00942243906823361
103,-0.000759585751251843,0.00409116623310348,0.00742274671495511,-0.0089419182174588
107,-0.00060721605389042,0.00392734702302345,0.00724747799215649,-0.00846191009993733
111,-0.000454846369208317,0.00376381756587152,0.00707278876253472,-0.00798248150095135
115,-0.000302476700272101,0.0036006172491053,0.0068987577979385,-0.0075037111984827
119,-0.000150107050224549,0.00343779281788421,0.00672547858554387,-0.00702569268599297
123,2.26257745325963e-06,0.00327540017682998,0.00655306293111323,-0.00654853777620671
127,0.000154632182035865,0.00311350666380254,0.00638164550964094,-0.00607238114556921
131,0.000307001750687159,0.00295219413548276,0.00621139002165269,-0.00559738652027837
135,0.000459371318257547,0.00279156289981328,0.00604249711788411,-0.00512375448136902
139,0.000611740732857249,0.00263173722046716,0.00587521517379156,-0.00465173370807706
143,0.000764110553164397,0.00247287266780356,0.00570985588877152,-0.00418163478244272
147,0.000916478651268088,0.00231516547638826,0.00554680960404461,-0.00371385230150843
151,0.00106885296915059,0.00215887078487106,0.00538659453889271,-0.00324888860059153
155,0.00122120379552257,0.00200430554031704,0.00522981487615665,-0.00278740728511152
159,0.00137380775777157,0.00185200874455857,0.00507782524688871,-0.00233020973134556
163,0.00152711455340046,0.00170269743452021,0.00493250942244088,-0.00187828031563996
167,0.00168168131258676,0.00155723693856835,0.00479615518972346,-0.00143279256454993
171,0.00183784414454616,0.00141678638125529,0.00467141690705673,-0.00099572861796441
175,0.00199546960054865,0.00128286845177721,0.00456120650410306,-0.000570267303005762
179,0.00215353320009571,0.00115724449732045,0.00446802219473662,-0.000160955794545191
183,0.00231000792183991,0.00104196867171196,0.00439394526526382,0.00022607057841599
187,0.00246194742652933,0.000939343627039823,0.00434063468060898,0.000583260172449687
191,0.00260586893355871,0.000851715898443334,0.00430930073044538,0.000902437136672046
195,0.00273789941307714,0.000781024728486923,0.00429994887005098,0.00117584995610329
199,0.00285363005952808,0.000728316446348796,0.00431026295222567,0.00139699716683049
203,0.00294828232978508,0.00069319470446592,0.00433467173871692,0.00156189292085324
207,0.00301765478557875,0.000673572737935409,0.00436480026144956,0.00167050930970793
211,0.00305881846146577,0.000665941493771707,0.00439070144900918,0.00172693547392235
215,0.00306972959828931,0.000666153997961433,0.00440203759421218,0.00173742160236644
219,0.00304973155612005,0.000670292834441907,0.00439031722500386,0.00170914588723624
223,0.00299866303724325,0.000675017199336234,0.00434869743591572,0.00164862863857078
227,0.0029169835142534,0.000677726473873243,0.00427243646199988,0.00156153056650691
231,0.00280618467041714,0.000676690934375801,0.00415956653916874,0.00145280280166554
235,0.00266862782372832,0.000671090341068378,0.00401080850586508,0.00132644714159156
239,0.00250707984098751,0.000660947127718491,0.0038289740964245,0.00118518558555053
243,0.00232400850949538,0.000647136225887863,0.0036182809612711,0.00102973605771965
247,0.00212181117288064,0.000631468997539879,0.0033847491679604,0.000858873177800883
251,0.00190306812341734,0.000616679105580098,0.00313642633457754,0.000669709912257148
255,0.00167061270062563,0.000606281705870725,0.00288317611236708,0.000458049288884183
259,0.00142751692285089,0.000604357966518868,0.00263623285588862,0.000218800989813151
263,0.00117621032091681,0.000615060771784318,0.00240633186448545,-5.39112226518226e-05
267,0.000918716228528311,0.000641844404225716,0.00220240503697974,-0.000364972579923121
271,0.00065655459258944,0.000686656609946343,0.00202986781248213,-0.000716758627303245
275,0.000391445629761495,0.000749583087963843,0.00189061180568918,-0.00110772054616619
279,0.00012509250079048,0.000829253914427737,0.00178360032964595,-0.00153341532806499
283,-0.000141175192188825,0.000923403356501867,0.00170563152081491,-0.00198798190519256
287,-0.000406262821111346,0.00102951918516395,0.00165277554921655,-0.00246530119143924
291,-0.000669258387940153,0.00114523483743041,0.00162121128692067,-0.00295972806280098
295,-0.000930228433611125,0.00126843295594813,0.00160663747828513,-0.00346709434550738
299,-0.00121183284908239,0.00140800385415583,0.00160417485922927,-0.00402784055739405
303,-0.001406677238762,0.00150812583856543,0.00160957443836886,-0.00442292891589286
304.5,-0.00151493321256164,0.00156448751751248,0.00161404182246332,-0.00464390824758659
