"Time","Coef","Coef_SD","UpperCI","LowerCI"
90.5,-0.0109025955132117,0.0063094658550832,0.00171633619695466,-0.0235215272233782
91,-0.0103526451648718,0.00602135773905958,0.00169007031324736,-0.022395360642991
95,-0.00925276790086165,0.0054483753094189,0.00164398271797614,-0.0201495185196994
99,-0.00760251166239066,0.00460458881696708,0.00160666597154351,-0.0168116892963248
103,-0.00595058155339849,0.00378883230042313,0.00162708304744777,-0.0135282461542448
107,-0.00429443861008585,0.00302131070377762,0.00174818279746939,-0.0103370600176411
111,-0.0026321766004953,0.00233735818295587,0.00204253976541644,-0.00730689296640705
115,-0.000955243451574493,0.00179581845360971,0.00263639345564493,-0.00454688035879392
119,0.000713732389326137,0.00150482995768194,0.00372339230469002,-0.00229592752603775
123,0.00231354376437891,0.00156549195222241,0.00544452766882372,-0.000817440140065908
127,0.0037895185905448,0.00185923534051693,0.00750798927157867,7.10479095109391e-05
131,0.00508606499369122,0.00221218614482987,0.00951043728335096,0.000661692704031477
135,0.00615039174962327,0.00253050966902258,0.0112114110876684,0.00108937241157811
139,0.00693531010805741,0.00276169639464887,0.0124587028973552,0.00141191731875967
143,0.00739404655146674,0.0028724445082196,0.0131389355679059,0.00164915753502754
147,0.0074805581585818,0.00283864646526247,0.0131578510891067,0.00180326522805687
151,0.00717358992668678,0.00266770247347052,0.0125089948736278,0.00183818497974573
155,0.00647015437097685,0.00238705090989811,0.0112442561907731,0.00169605255118063
159,0.00538940464755618,0.00204666337576253,0.00948273139908124,0.00129607789603112
163,0.00400160864443195,0.00173052237458482,0.0074626533936016,0.00054056389526231
167,0.0024298158735085,0.00157359610907658,0.00557700809166167,-0.000717376344644667
171,0.000861611349318047,0.00165256321638008,0.00416673778207821,-0.00244351508344211
175,-0.000512619160459268,0.00184634190445128,0.00318006464844328,-0.00420530296936182
179,-0.00154633570682898,0.00202132861927165,0.00249632153171432,-0.00558899294537229
183,-0.00213572789315697,0.00213012057807918,0.00212451326300139,-0.00639596904931533
187,-0.00229029948093334,0.00219281700001153,0.00209533451908971,-0.0066759334809564
191,-0.00209457527565237,0.00225076124554653,0.0024069472154407,-0.00659609776674544
195,-0.00158205443136759,0.00229676415009178,0.00301147386881598,-0.00617558273155115
199,-0.000785819636138907,0.00229966263237483,0.00381350562861076,-0.00538514490088858
203,0.000258195302317066,0.00227831906822181,0.0048148334387607,-0.00429844283412656
207,0.00140206340708252,0.00230205081274372,0.00600616503256996,-0.00320203821840492
211,0.00245214980370278,0.00237924944778021,0.0072106486992632,-0.00230634909185764
215,0.00327303957822602,0.00245413208429695,0.00818130374681991,-0.00163522459036787
219,0.00386804427585353,0.00250170776887544,0.0088714598136044,-0.00113537126189735
223,0.00434828033915494,0.00253520608096359,0.00941869250108212,-0.000722131822772233
227,0.00485896813007146,0.00254658862888796,0.00995214538784737,-0.000234209127704455
231,0.00541345471897124,0.00250484865844023,0.0104231520358517,0.000403757402090773
235,0.00591381000374802,0.00239942792442064,0.0107126658525893,0.00111495415490673
239,0.00620888120887271,0.00225091879277757,0.0107107187944278,0.00170704362331757
243,0.00616854474942125,0.00209972395880019,0.0103679926670216,0.00196909683182088
247,0.00572021420036105,0.00197867094945437,0.00967755609926978,0.00176287230145232
251,0.00481549620979895,0.00192244432079167,0.00866038485138229,0.000970607568215611
255,0.003495895846009,0.00195584191426761,0.00740757967454423,-0.000415787982526229
259,0.00197135994114033,0.00206867083155402,0.00610870160424836,-0.0021659817219677
263,0.000537491266970254,0.00220505847252565,0.00494760821202156,-0.00387262567808105
267,-0.000525366581778778,0.00227502436776238,0.00402468215374597,-0.00507541531730353
271,-0.00108723301872544,0.00221593153151572,0.003344630044306,-0.00551909608175689
275,-0.00114274882084323,0.00203889314606851,0.00293503747129379,-0.00522053511298026
279,-0.000859137809204342,0.00187175564434012,0.0028843734794759,-0.00460264909788458
283,-0.000453440366416698,0.00189199407911146,0.00333054779180623,-0.00423742852463962
287,-4.96536250921731e-06,0.00217338484841326,0.0043418043343173,-0.00435173505933573
291,0.000467829867913831,0.00266956845928983,0.0058069667864935,-0.00487130705066584
295,0.000943114684997907,0.00332963691342183,0.00760238851184157,-0.00571615914184575
299,0.00146649456183857,0.00418201531941099,0.00983052520066054,-0.00689753607698341
303,0.00184199760235049,0.00484017734704019,0.0115223522964309,-0.00783835709172989
304.5,0.00205031340624612,0.00521522840619438,0.0124807702186349,-0.00838014340614265
