"Time","Coef","Coef_SD","UpperCI","LowerCI"
90.5,-0.00550111928408652,0.00449093476864358,0.00348075025320063,-0.0144829888213737
91,-0.00546894009764143,0.00445078118913901,0.0034326222806366,-0.0143705024759195
95,-0.00540458172475152,0.00437049990884823,0.00333641809294494,-0.014145581542448
99,-0.00530804416541656,0.00425016224085929,0.00319228031630201,-0.0138083686471351
103,-0.00521150660608163,0.00412991617659016,0.0030483257470987,-0.013471338959262
107,-0.00511496904674694,0.00400976995050456,0.00290457085426218,-0.0131345089477561
111,-0.00501843148741222,0.00388973280185824,0.00276103411630427,-0.0127978970911287
115,-0.00492189392807777,0.00376981513796087,0.00261773634784397,-0.0124615242039995
119,-0.00482535636874338,0.00365002871951393,0.00247470107028449,-0.0121254138077712
123,-0.004728818809409,0.00353038688747327,0.00233195496553754,-0.0117895925843555
127,-0.00463228125007482,0.00341090483368214,0.00218952841728945,-0.0114540909174391
131,-0.00453574369074082,0.00329159992991544,0.00204745616909006,-0.0111189435505717
135,-0.00443920613140683,0.00317249212794501,0.0019057781244832,-0.0107841903872969
139,-0.00434266857207339,0.00305360445013589,0.0017645403281984,-0.0104498774723452
143,-0.00424613101273865,0.00293496359439434,0.00162379617605004,-0.0101160582015273
147,-0.00414959345341012,0.0028166006855045,0.00148360791759889,-0.00978279482441913
151,-0.00405305589405992,0.0026985522149454,0.00134404853583088,-0.00945016032395073
155,-0.00395651833479164,0.00258086122552743,0.00120520411626322,-0.00911824078584649
159,-0.00385998077463089,0.00246357881663284,0.0010671768586348,-0.00878713840789658
163,-0.00376344321195461,0.00234676607325374,0.000930088934552873,-0.00845697535846209
167,-0.00366690564488675,0.00223049655998822,0.00079408747508968,-0.00812789876486319
171,-0.00357036807112133,0.00211485957613915,0.000659351081156972,-0.00780008722339963
175,-0.00347383048784321,0.00199996444468878,0.000526098401534347,-0.00747375937722078
179,-0.00337729289311324,0.00188594622144492,0.000394599549776589,-0.00714918533600308
183,-0.00328075528483993,0.00177297336967128,0.00026519145450263,-0.0068267020241825
187,-0.00318421766003007,0.00166125818327241,0.000138298706514744,-0.00650673402657488
191,-0.00308768001420226,0.00155107107233631,1.44621304703622e-05,-0.00618982215887488
195,-0.00299114234226236,0.00144276030934943,-0.000105621723563503,-0.00587666296096122
199,-0.00289460463973664,0.00133677947123762,-0.000221045697261389,-0.00556816358221188
203,-0.00279806690302074,0.00123372564033575,-0.000330615622349231,-0.00526551818369224
207,-0.00270152913014514,0.00113439221276107,-0.000432744704623001,-0.00497031355566727
211,-0.00260499131979682,0.00103984039235098,-0.000525310535094858,-0.00468467210449878
215,-0.0025084534707598,0.000951491266591891,-0.00060547093757602,-0.00441143600394358
219,-0.00241191558260451,0.000871231804394012,-0.000669451973816483,-0.00415437919139253
223,-0.00231537765599744,0.000801504844324676,-0.000712367967348091,-0.00391838734464679
227,-0.00221883969294663,0.000745305472096905,-0.00072822874875282,-0.00370945063714044
231,-0.00212230169778214,0.000705941174084321,-0.000710419349613502,-0.00353418404595079
235,-0.00202576367496097,0.000686409255830061,-0.000652945163300849,-0.00339858218662109
239,-0.00192922562997743,0.000688468916256953,-0.000552287797463528,-0.00330616346249134
243,-0.00183268756825037,0.000711924878560843,-0.000408837811128684,-0.00325653732537206
247,-0.00173614949472012,0.000754713345407765,-0.000226722803904593,-0.00324557618553565
251,-0.0016396114140253,0.00081371242957156,-1.21865548821838e-05,-0.00326703627316843
255,-0.00154307333017114,0.000885638710153003,0.000228204090134867,-0.00331435075047715
259,-0.0014465352439805,0.000967592408565643,0.000488649573150789,-0.00338172006111179
263,-0.00134999715558077,0.00105723960763803,0.000764482059695287,-0.00346447637085682
267,-0.00125345906415672,0.00115278923456842,0.00105211940498013,-0.00355903753329357
271,-0.00115692096651182,0.00125289594402587,0.00134887092153993,-0.00366271285456357
275,-0.00106038286127052,0.00135655545253193,0.00165272804379335,-0.00377349376633439
279,-0.000963844750942137,0.00146301622311414,0.00196218769528615,-0.00388987719717042
283,-0.000867306640140256,0.00157171176828385,0.00227611689642743,-0.00401073017670795
287,-0.000770768534385051,0.00168221090661513,0.0025936532788452,-0.0041351903476153
291,-0.000674230436531393,0.00179418187962944,0.00291413332272749,-0.00426259419579027
295,-0.000577692345370509,0.00190736654052785,0.0032370407356852,-0.00439242542642622
299,-0.000473109416576349,0.00203107811119013,0.00358904680580392,-0.00453526563895661
303,-0.00040070585119309,0.0021174410353988,0.0038341762196045,-0.00463558792199068
304.5,-0.000360481648159996,0.00216559939263213,0.00397071713710427,-0.00469168043342426
